XCoord,YCoord,FID,NAME,ADDRESS,URL
-83.05011566,42.2969836,0,Bridgeview Branch,1295 Campbell Ave,http://www.windsorpubliclibrary.com/?page_id=126
-83.04242908,42.31850631,1,Windsor Community Museum,254 Pitt Street W,http://www.windsorpubliclibrary.com/?page_id=126
-82.97929614,42.31696446,2,Seminole Library,4285 Seminole St,http://www.windsorpubliclibrary.com/?page_id=126
-83.02671176,42.26828849,3,Nikola Budimir Memorial Branch,1310 Grand Marais W,http://www.windsorpubliclibrary.com/?page_id=126
-82.96089855,42.32978629,4,Riverside Branch,6305 Wyandotte St E,http://www.windsorpubliclibrary.com/?page_id=126
-82.91584269,42.30305962,5,Forest Glade - Optimist Branch,3211 Forest Glade Dr,http://www.windsorpubliclibrary.com/?page_id=126
-83.07470865,42.30152938,6,John Muir Branch,363 Mill St,http://www.windsorpubliclibrary.com/?page_id=126
-83.03993684,42.31850222,7,Central Resource Library,185 Ouellette Ave,http://www.windsorpubliclibrary.com/?page_id=126
-82.95323231,42.29524279,8,Fontainebleau Branch,3030 Rivard Ave,http://www.windsorpubliclibrary.com/?page_id=126
-83.00450404,42.29250956,9,W.F. Chisholm Branch,1075 Ypres Ave,http://www.windsorpubliclibrary.com/?page_id=126
-83.07788874,42.29965136,10,Local History Centre,3312 Sandwich Street,http://www.windsorpubliclibrary.com/?page_id=126
