XCoord,YCoord,FID,NAME,ADDRESS
-83.04517172,42.27253904,0,Aboriginal,2376 Northway Ave
-82.97746244,42.31276557,1,A.K.O.,4271 Alice St
-82.99245499,42.32726517,2,Alexander,3700 Riverside Dr E
-83.02767186,42.31273845,3,Alton C Parker,450 Brodhead Street
-83.02857507,42.31288411,4,Alton C Parker,900 Mercer Street
-83.07070543,42.30867351,5,Assumption,2730 University Ave W
-83.06841614,42.31107984,6,Assumption North,2400 Riverside Dr W
-83.01918429,42.25158929,7,Avon Court,3901 Kennedy Dr W
-83.01730105,42.27435147,8,Avondale Playlot,402 Grand Marais W
-83.02983781,42.28253127,9,Balsamo,2240 Dandurand Ave
-83.04210806,42.26732439,10,Bellewood,2600 Youngstown St
-83.09022294,42.26861393,11,Black Oak Heritage,599 Broadway Street
-83.07643475,42.29556917,12,Bradley,3460 Cross St
-82.95198329,42.33612326,13,Bridges Bay,7390 Riverside Dr E
-83.05278616,42.29847736,14,Bridgeview,1899 Grove Ave
-83.07875927,42.30116921,15,Brock,3278 Russell St
-82.99822627,42.28291651,16,Brookview,1097 Brookview Cres
-83.04075516,42.31145134,17,Bruce Avenue,700 Bruce Ave
-82.93492202,42.33964736,18,Brumpton,8890 Cedarview St
-82.92398075,42.31012638,19,Bush,9475 Esplanade Drive
-83.00168804,42.32473709,20,Cadillac St,290 Drouillard Rd
-82.9793295,42.26979901,21,Calderwood,1859 Calderwood Ave
-82.97181077,42.25297997,22,Captain John Wilson,3950 Ducharme Street
-83.04298923,42.3096507,23,Caron Avenue,774 Caron Ave
-83.05848185,42.31545447,24,Centennial,1530 Riverside Dr W
-83.01521189,42.26312716,25,Central,3301 Woodland Ave
-83.03614278,42.31866582,26,Charles Clark Square,215 Chatham St E
-82.98264662,42.32163548,27,Chopin,1298 Rossini Blvd
-83.0353212,42.31747128,28,City Hall Square,350 City Hall Sq W
-83.03692593,42.31998574,29,Civic Green,217 Riverside Dr E
-83.03782226,42.32060054,30,Civic Terrace,200 Riverside Dr E
-82.94286429,42.33939236,31,Clairview Bikeway,8101 Clairview Avenue
-83.00970835,42.30702517,32,Clay,1498 Hall Avenue
-82.95707096,42.29420369,33,Coletta,2979 Coletta Court
-83.07334382,42.29346944,34,College Avenue Bikeway,3690 College Avenue
-83.00325486,42.26913756,35,Compton Court,600 Compton Court
-82.89765809,42.32702601,36,Cora Greenwood,11824 Little River Blvd
-83.07163387,42.29470215,37,Crowley,3325 College Avenue
-83.02236836,42.25951964,38,Curry,1400 Richardie Blvd
-83.04880136,42.30121138,39,Curry Playlot,1074 Curry Avenue
-82.97625103,42.32297246,40,Dawson,1003 Dawson Road
-82.92419713,42.2964702,41,Derwent,7911 Forest Glade Drive
-83.00559986,42.31298823,42,Devonshire,2005 Devonshire Court
-82.98622548,42.26935123,43,Devonshire Heights,1697 Calderwood Avenue
-83.04200738,42.31969233,44,Dieppe Gardens,70 Riverside Drive W
-82.99345509,42.24945094,45,Dynasty,605 Dynasty Street
-82.91412196,42.3327009,46,East End,569 Adelaide Avenue
-82.89832179,42.32149106,47,East Riverside,11736 McNorton Street
-82.93719475,42.34249783,48,East Riverview,8788 Riverside Drive E
-82.90493969,42.32373176,49,Elizabeth Kishkon,1415 Banwell Road
-83.06266241,42.31201589,50,Ernest Atkinson,2005 Riverside Drive W
-82.96090561,42.32045619,51,Esdras,1191 Esdras Avenue
-82.99449215,42.30505067,52,Factoria,1775 Factoria Road
-83.04315556,42.26118377,53,Fazio,3012 Fazio Drive
-83.03361254,42.32156814,54,Festival Plaza,340 Riverside Drive East
-83.04454547,42.29618146,55,Field Of Dreams,1434 Curry Avenue
-82.91167378,42.32082808,56,Firgrove Boulevard,9850 Firgrove Blvd
-82.92822378,42.33818339,57,Flora,430 Flora Avenue
-82.95183834,42.29615357,58,Fontainebleau,2960 Rivard Avenue
-82.98696658,42.31083421,59,Ford Test Track,3001 Seminole Street
-82.91653973,42.30341992,60,Forest Glade Optimist,3265 Forest Glade Drive
-82.98070983,42.32249124,61,Francois Court,895 Francois Court
-83.03143889,42.31658321,62,Fred Thomas,400 Wyandotte Street E
-82.91722282,42.33775765,63,Ganatchio,10554 Riverside Drive E
-82.91308164,42.33578711,64,Ganatchio Trail,400 Riverdale Avenue
-82.99834926,42.31603019,65,Garry Dugal,1247 Drouillard Road
-83.01328498,42.29756707,66,Garwood,765 Irvine Avenue
-82.98638669,42.32371493,67,George Avenue,4085 Wyandotte Street E
-83.01772459,42.30286882,68,Gignac,705 Shepherd Street E
-82.9980231,42.31902017,69,Gino and Liz Marcus,1200 Drouillard Road
-83.05461487,42.29789976,70,Girardot,2100 Girardot Street
-82.98514674,42.24596578,71,Goldenwood,4355 Goldenwood Drive
-82.98479539,42.32768209,72,Goose Bay,4386 Riverside Drive E
-82.99752612,42.28345361,73,Grand Marais Drain Trail,939 Grand Marais Road E
-83.02560785,42.32350057,74,Great Western,1388 Riverside Drive E
-83.05762816,42.29741391,75,Grove,2297 Grove Avenue
-82.98627784,42.27916349,76,Hall Farms,3030 Conservation Drive
-82.9309947,42.30877674,77,Hawthorne,7645 Hawthorne Drive
-82.98581155,42.23991241,78,Herb Grey Nature Reserve,925 Lake Trail Drive
-82.9873256,42.24985621,79,Holburn,4211 Marlo Cres
-82.96648192,42.32473964,80,Homesite,998 Villaire Avenue
-83.00709903,42.27945115,81,Howard,2910 Howard Avenue
-83.05808648,42.28674823,82,Huron Church Greenbelt,1015 Huron Church Road
-83.02131174,42.29355089,83,Jackson,125 Tecumseh Road E
-83.02421219,42.29214071,84,Jackson,125 Tecumseh Road E
-82.99588879,42.28355464,85,Jennifer,2935 Jennifer Drive
-83.00228103,42.26686318,86,Kenilworth,3466 Whiteside Drive
-83.02260304,42.30726745,87,Kennedy Square,1250 Howard Avenue
-83.02309554,42.32186442,88,Kid's Alliance,1075 University Avenue E
-83.02910561,42.32148859,89,Kinsmen Chatham Street,735 Chatham Street E
-82.97085821,42.31448515,90,Kinsmen Norman Road,1730 Olive Road
-82.94909537,42.33716882,91,Kiwanis,7689 Riverside Drive E
-82.99187058,42.23787729,92,Kominar,4650 Alpenrose Avenue
-82.9871209,42.31811952,93,Labadie,1386 Labadie Road
-82.99200688,42.24279999,94,Lake Como,4500 Southwood Lakes Blvd
-82.98286411,42.240112,95,Lake Grande,5014 Southwood Lakes Blvd
-82.9826438,42.23915436,96,Lake Laguna,5001 Southwood Lakes Blvd
-82.98780511,42.24079716,97,Lake Trail,846 Lake Trail Drive
-82.92987811,42.33986225,98,Lakeview Park Marina,9200 Riverside Drive E
-82.99945296,42.28730595,99,Langlois Court,2730 Parent Avenue
-83.01523123,42.31008633,100,Lanspeary,1250 Langlois Avenue
-82.99194789,42.27838106,101,Leafield,3083 Conservation Drive
-83.0476747,42.31830334,102,Legacy,620 Riverside Dr W
-83.01179465,42.29536181,103,Lens Avenue Greenbelt,785 Lens Avenue
-82.93089415,42.32641345,104,Little River Acres,8575 Little River Road
-82.91466491,42.32462167,105,Little River Boulevard,9903 Little River Blvd
-82.9229019,42.32698192,106,Little River Corridor,10091 Riverside Drive E
-82.91719332,42.29139319,107,Little River Dragonfly,7798 Twin Oaks Drive
-83.07605353,42.30043324,108,Mackenzie Hall,3261 Sandwich Street
-82.91357172,42.32041957,109,Magnolia,1703 Magnolia Avenue
-83.06516529,42.27724579,110,Malden,4200 Malden Road
-82.97630186,42.25975434,111,Maple Leaf,3974 Maple Leaf Cres
-83.03220082,42.24958081,112,Marguriet,2665 Marguriet Street
-83.02851243,42.26489956,113,Mark,3125 Mark Avenue
-82.92406401,42.33397039,114,Martinique,536 Martinique Avenue
-83.06561777,42.28837094,115,Matchette,3675 Marchette Road
-83.00320504,42.24032592,116,Matthew Rodzik,545 Rodfam Drive
-83.06007504,42.28072826,117,Maurice Belanger,3980 Malden Road
-82.98152688,42.29689975,118,Mayfair,2539 Chandler Road
-82.92175149,42.31764894,119,McHugh,9655 McHugh Street
-83.07492837,42.30655915,120,McKee,3036 Sandwich Street
-82.93221064,42.3052332,121,Meadowbrook,2851 Meadowbrook Lane
-83.0731565,42.28519558,122,Mic Mac,3940 Carmichael Road
-83.07728715,42.30324819,123,Mill Street,3176 Russell St
-83.03490469,42.30303787,124,Mitchell,399 Giles Blvd W
-82.91176246,42.32485128,125,Morningstar,10741 Little River Blvd
-83.05793576,42.30001745,126,North Merritt,953 Merritt Drive
-82.97790347,42.24308887,127,North Talbot,1299 Highnoon Drive
-83.05568752,42.29653339,128,North Tilston,1235 Tilston Drive
-83.04272863,42.30039888,129,Oak Elm,1250 Elm Avenue
-83.03364266,42.25623964,130,Oakwood,2401 Pulford Street
-83.08546514,42.26142997,131,Ojibway Parkway Trail,4900 Ojibway Parkway
-83.0782004,42.26580321,132,Ojibway Tom Joy Woods,5200 Matchette Raod
-83.00210245,42.2919735,133,Optimist Memorial,1075 Ypres Avenue
-82.89850053,42.30997525,134,Palmetto,11518 Palmetto Drive
-83.00792408,42.29479157,135,Parent,2286 Parent Avenue
-82.97223799,42.286866,136,Parkwood Woodlot,3017 Temple Dr
-83.03637421,42.27035808,137,Partington,2725 Partington Avenue
-83.07369059,42.30516093,138,Paterson,3063 Sandwich Street
-82.98678361,42.26111887,139,Patrick Maguire,3782 Holburn Street
-82.92680865,42.34609976,140,Peche Island,0 Peche Island
-82.93801715,42.34263092,141,Peche Island Landing,8734 Riverside Drive E
-82.98006298,42.32735058,142,Pleasant Place,254 Pillette Road
-82.97248875,42.29255479,143,Plymouth,3601 Plymouth Drive
-82.96787012,42.31299474,144,Polonia,4923 Milloy Street
-82.96303469,42.31545085,145,Pykes,5497 Lassaline Avenue
-83.02100028,42.27004436,146,Radisson Bikeway,2985 Bruce Avenue
-82.97889621,42.32966811,147,Reaume,4714 Riverside Drive E
-83.00469785,42.28547061,148,Remington Booster,2710 Lillian Avenue
-82.92955816,42.32785699,149,Riverdale,1069 Riverdale Avenue
-82.95522876,42.32948946,150,Riverside Baseball,6755 Wyandotte Street E
-82.92601728,42.32789176,151,Riverside Kiwanis,9420 Little River Road
